"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"1","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB1",55706,65898,"Communications Manager",1,"Communications"
"2","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB1",55706,65898,"Finance Officer",1,"Finance"
"3","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB2",45350,53637,"Business Manager",1,"Operational Delivery"
"4","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB2",45350,53637,"Communications Manager",1,"Communications"
"5","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB2",45350,53637,"Finance Officer",1,"Finance"
"6","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB2",45350,53637,"HR Officer",1,"Human Resources"
"7","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB3",36643,42386,"Business Manager",1,"Operational Delivery"
"8","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB3",36643,42386,"Communications Manager",3,"Communications"
"9","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB4",30381,34997,"Communications Manager",1,"Communications"
"10","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB4",30381,34997,"Finance Officer",2,"Finance"
"11","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB4",30381,34997,"HR Officer",3,"Human Resources"
"12","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB4",30381,34997,"Procurement Officer",1,"Procurement"
"13","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB4",30381,34997,"Project Manager",2,"Programme and Project Management (PPM)"
"14","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB5",22883,27092,"Administration Manager",2,"Operational Delivery"
"15","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB5",22883,27092,"Finance Officer",2,"Finance"
"16","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB5",22883,27092,"Project Manager",1,"Programme and Project Management (PPM)"
"17","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB5(OP)",26889,31807,"Administration Officer",1,"Operational Delivery"
"18","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB6B",18445,19880,"Administration Manager",0.7,"Operational Delivery"
"19","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB6B",18445,19880,"Administration Officer",5,"Finance"
"20","Department for Environment, Food and Rural Affairs","Forestry Commission","Forestry Commission England","FCSSGEN01","PB6B",18445,19880,"Personal Secretary",0.9,"Operational Delivery"
"21","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB1",55706,65898,"Programme Manager",1,"Programme and Project Management (PPM)"
"22","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB2",45350,53637,"Programme Manager",7.2,"Programme and Project Management (PPM)"
"23","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB3",36643,42386,"Business Manager",4,"Operational Delivery"
"24","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB3",36643,42386,"Finance Officer",2,"Finance"
"25","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB3",36643,42386,"Policy Adviser",1,"Operational Delivery"
"26","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB4",30381,34997,"Business Manager",8,"Operational Delivery"
"27","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB4",30381,34997,"Project Manager",2,"Programme and Project Management (PPM)"
"28","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB4",30381,34997,"Policy Adviser",5,"Policy"
"29","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Services, FC(E)","FCSSGEN02","PB5",22883,27092,"Project Manager",1.4,"Programme and Project Management (PPM)"
"30","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB1",55706,65898,"Business Manager",5,"Operational Delivery"
"31","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB1",55706,65898,"Land Agent",2,"Operational Delivery"
"32","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB2",45350,53637,"Business Manager",5,"Operational Delivery"
"33","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB2",45350,53637,"Civil Engineer",1,"Science and Engineering"
"34","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB2",45350,53637,"Finance Officer",1,"Finance"
"35","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB2",45350,53637,"Project Manager",1,"Programme and Project Management (PPM)"
"36","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB3",36643,42386,"Business Manager",15.8,"Operational Delivery"
"37","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB3",36643,42386,"Business Manager",1,"Science and Engineering"
"38","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB3",36643,42386,"Communications Manager",1,"Communications"
"39","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Administration Manager",4.6,"Operational Delivery"
"40","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Business Manager",29.9,"Operational Delivery"
"41","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Civil Engineer",6,"Science and Engineering"
"42","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Finance Officer",2,"Finance"
"43","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Forester",1,"Operational Delivery"
"44","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Land Agent",1,"Operational Delivery"
"45","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Operational Manager",3,"Operational Delivery"
"46","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Programme Manager",1,"Programme and Project Management (PPM)"
"47","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Project Manager",1.7,"Programme and Project Management (PPM)"
"48","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB4",30381,34997,"Workshop Manager",3,"Science and Engineering"
"49","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"Administration Manager",26.5,"Operational Delivery"
"50","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"Administration Manager",2,"Science and Engineering"
"51","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"Administration Officer",2,"Operational Delivery"
"52","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"Civil Engineer",1,"Science and Engineering"
"53","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"Communications Manager",4.2,"Communications"
"54","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"Forester",0.6,"Operational Delivery"
"55","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"IT Manager",2,"Information Technology"
"56","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"Scientist",2.4,"Operational Delivery"
"57","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5",22883,27092,"Technical Adviser",3,"Operational Delivery"
"58","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5(OP)",26889,31807,"Administration Manager",2,"Operational Delivery"
"59","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5(OP)",26889,31807,"Forester",68.4,"Operational Delivery"
"60","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5(OP)",26889,31807,"Operational Manager",9,"Operational Delivery"
"61","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5(OP)",26889,31807,"Ranger Manager",7,"Operational Delivery"
"62","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5(OP)",26889,31807,"Scientist",3,"Operational Delivery"
"63","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB5(OP)",26889,31807,"Works Manager",2,"Operational Delivery"
"64","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Administration Officer",11.6,"Operational Delivery"
"65","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Forest Operative",11,"Operational Delivery"
"66","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Machine Operator",21,"Operational Delivery"
"67","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Mechanic",8,"Science and Engineering"
"68","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Nursery Operative",5,"Operational Delivery"
"69","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Operational Manager",2.6,"Operational Delivery"
"70","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Ranger",13.8,"Operational Delivery"
"71","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Visitor Services Operative",2.6,"Operational Delivery"
"72","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A",20323,23777,"Works Manager",52,"Operational Delivery"
"73","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A(OP)",23819,27912,"Communications Manager",1,"Communications"
"74","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A(OP)",23819,27912,"Forest Operative",1.9,"Operational Delivery"
"75","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A(OP)",23819,27912,"Operational Manager",1,"Operational Delivery"
"76","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6A(OP)",23819,27912,"Ranger",114,"Operational Delivery"
"77","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6B",18445,19880,"Administration Officer",66.6,"Operational Delivery"
"78","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6B",18445,19880,"Forest Operative",107.7,"Operational Delivery"
"79","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6B",18445,19880,"Machine Operator",3,"Operational Delivery"
"80","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6B",18445,19880,"Nursery Operative",23,"Operational Delivery"
"81","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6B",18445,19880,"Ranger",2,"Operational Delivery"
"82","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB6B",18445,19880,"Visitor Services Operative",18.6,"Operational Delivery"
"83","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB7",14749,15977,"Administration Officer",6,"Operational Delivery"
"84","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB7",14749,15977,"Cleaner",0.9,"Operational Delivery"
"85","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB7",14749,15977,"Forest Operative",2.2,"Operational Delivery"
"86","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB7",14749,15977,"Nursery Operative",7,"Operational Delivery"
"87","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Enterprise England","FCSSGEN03","PB7",14749,15977,"Visitor Services Operative",7.1,"Operational Delivery"
"88","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB1",55706,65898,"Scientist",3,"Science and Engineering"
"89","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB2",45350,53637,"Economist",1,"Economics"
"90","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB2",45350,53637,"Project Manager",1,"Science and Engineering"
"91","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB2",45350,53637,"Scientist",12.3,"Science and Engineering"
"92","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB3",36643,42386,"Scientist",14.1,"Science and Engineering"
"93","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB3",36643,42386,"Statistician",2,"Statisticians"
"94","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB4",30381,34997,"Business Manager",1,"Science and Engineering"
"95","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB4",30381,34997,"Economist",1,"Economics"
"96","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB4",30381,34997,"Forester",1,"Science and Engineering"
"97","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB4",30381,34997,"IT Manager",2,"Information Technology"
"98","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB4",30381,34997,"Operational Manager",1,"Science and Engineering"
"99","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB4",30381,34997,"Scientist",35.2,"Science and Engineering"
"100","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB5",22883,27092,"Forest Operative",1,"Science and Engineering"
"101","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB5",22883,27092,"IT Manager",1,"Information Technology"
"102","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB5",22883,27092,"Scientist",22.8,"Science and Engineering"
"103","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB5(OP)",26889,31807,"Forester",4.7,"Science and Engineering"
"104","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB5(OP)",26889,31807,"Scientist",3,"Science and Engineering"
"105","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB6A",20323,23777,"Administration Officer",4,"Science and Engineering"
"106","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB6A",20323,23777,"Forest Operative",26.9,"Science and Engineering"
"107","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB6A",20323,23777,"Personal Secretary",0.6,"Science and Engineering"
"108","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB6A",20323,23777,"Scientist",4.4,"Science and Engineering"
"109","Department for Environment, Food and Rural Affairs","Forestry Commission","Forest Research","FCSSGFR01","PB6B",18445,19880,"Administration Officer",6.29,"Science and Engineering"
